alert,real_ttps,possible_ttps,scenario,step_dir,alert_path
"{""timestamp"": ""2025-09-22T18:37:20.424+0000"", ""rule"": {""level"": 6, ""description"": ""Processes running for all users were queried with ps command."", ""id"": ""92604"", ""mitre"": {""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}, ""firedtimes"": 4, ""mail"": false, ""groups"": [""audit_detections""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566240.11506032"", ""full_log"": ""type=SYSCALL msg=audit(1758566230.034:7253): arch=c000003e syscall=59 success=yes exit=0 a0=55de6e592530 a1=55de6e592450 a2=55de6e592488 a3=1b6 items=3 ppid=3031 pid=7143 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=pts0 ses=4294967295 comm=\""ps\"" exe=\""/usr/bin/ps\"" subj==unconfined key=\""T1166_Seuid_and_Setgid\""\u001dARCH=x86_64 SYSCALL=execve AUID=\""unset\"" UID=\""www-data\"" GID=\""www-data\"" EUID=\""www-data\"" SUID=\""www-data\"" FSUID=\""www-data\"" EGID=\""www-data\"" SGID=\""www-data\"" FSGID=\""www-data\"" type=EXECVE msg=audit(1758566230.034:7253): argc=2 a0=\""ps\"" a1=\""auxwww\"" type=PATH msg=audit(1758566230.034:7253): item=0 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566230.034:7253): item=1 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566230.034:7253): item=2 name=\""/lib64/ld-linux-x86-64.so.2\"" inode=1964 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PROCTITLE msg=audit(1758566230.034:7253): proctitle=707300617578777777"", ""decoder"": {""parent"": ""auditd"", ""name"": ""auditd""}, ""data"": {""audit"": {""type"": ""SYSCALL"", ""id"": ""7253"", ""arch"": ""c000003e"", ""syscall"": ""59"", ""success"": ""yes"", ""exit"": ""0"", ""ppid"": ""3031"", ""pid"": ""7143"", ""auid"": ""4294967295"", ""uid"": ""33"", ""gid"": ""33"", ""euid"": ""33"", ""suid"": ""33"", ""fsuid"": ""33"", ""egid"": ""33"", ""sgid"": ""33"", ""fsgid"": ""33"", ""tty"": ""pts0"", ""session"": ""4294967295"", ""command"": ""ps"", ""exe"": ""/usr/bin/ps"", ""key"": ""T1166_Seuid_and_Setgid"", ""execve"": {""a0"": ""ps"", ""a1"": ""auxwww""}, ""file"": {""name"": ""/usr/bin/ps"", ""inode"": ""17887"", ""mode"": ""0100755""}}}, ""location"": ""/var/log/audit/audit.log""}",['T1057'],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:20.458+0000"", ""rule"": {""level"": 6, ""description"": ""Processes running for all users were queried with ps command."", ""id"": ""92604"", ""mitre"": {""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}, ""firedtimes"": 5, ""mail"": false, ""groups"": [""audit_detections""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566240.11508098"", ""full_log"": ""type=SYSCALL msg=audit(1758566230.062:7266): arch=c000003e syscall=59 success=yes exit=0 a0=55de6e592530 a1=55de6e592450 a2=55de6e592488 a3=1b6 items=3 ppid=3031 pid=7146 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=pts0 ses=4294967295 comm=\""ps\"" exe=\""/usr/bin/ps\"" subj==unconfined key=\""T1166_Seuid_and_Setgid\""\u001dARCH=x86_64 SYSCALL=execve AUID=\""unset\"" UID=\""www-data\"" GID=\""www-data\"" EUID=\""www-data\"" SUID=\""www-data\"" FSUID=\""www-data\"" EGID=\""www-data\"" SGID=\""www-data\"" FSGID=\""www-data\"" type=EXECVE msg=audit(1758566230.062:7266): argc=2 a0=\""ps\"" a1=\""auxwww\"" type=PATH msg=audit(1758566230.062:7266): item=0 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566230.062:7266): item=1 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566230.062:7266): item=2 name=\""/lib64/ld-linux-x86-64.so.2\"" inode=1964 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PROCTITLE msg=audit(1758566230.062:7266): proctitle=707300617578777777"", ""decoder"": {""parent"": ""auditd"", ""name"": ""auditd""}, ""data"": {""audit"": {""type"": ""SYSCALL"", ""id"": ""7266"", ""arch"": ""c000003e"", ""syscall"": ""59"", ""success"": ""yes"", ""exit"": ""0"", ""ppid"": ""3031"", ""pid"": ""7146"", ""auid"": ""4294967295"", ""uid"": ""33"", ""gid"": ""33"", ""euid"": ""33"", ""suid"": ""33"", ""fsuid"": ""33"", ""egid"": ""33"", ""sgid"": ""33"", ""fsgid"": ""33"", ""tty"": ""pts0"", ""session"": ""4294967295"", ""command"": ""ps"", ""exe"": ""/usr/bin/ps"", ""key"": ""T1166_Seuid_and_Setgid"", ""execve"": {""a0"": ""ps"", ""a1"": ""auxwww""}, ""file"": {""name"": ""/usr/bin/ps"", ""inode"": ""17887"", ""mode"": ""0100755""}}}, ""location"": ""/var/log/audit/audit.log""}",['T1057'],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:20.732+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 13, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566240.11510164"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:25.103+0000"", ""rule"": {""level"": 6, ""description"": ""Processes running for all users were queried with ps command."", ""id"": ""92604"", ""mitre"": {""id"": [""T1057""], ""tactic"": [""Discovery""], ""technique"": [""Process Discovery""]}, ""firedtimes"": 6, ""mail"": false, ""groups"": [""audit_detections""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566245.11510414"", ""full_log"": ""type=SYSCALL msg=audit(1758566234.502:9069): arch=c000003e syscall=59 success=yes exit=0 a0=55de6e675730 a1=55de6e675670 a2=55de6e675688 a3=55de6e530f40 items=3 ppid=10030 pid=10031 auid=4294967295 uid=33 gid=33 euid=33 suid=33 fsuid=33 egid=33 sgid=33 fsgid=33 tty=pts0 ses=4294967295 comm=\""ps\"" exe=\""/usr/bin/ps\"" subj==unconfined key=\""T1166_Seuid_and_Setgid\""\u001dARCH=x86_64 SYSCALL=execve AUID=\""unset\"" UID=\""www-data\"" GID=\""www-data\"" EUID=\""www-data\"" SUID=\""www-data\"" FSUID=\""www-data\"" EGID=\""www-data\"" SGID=\""www-data\"" FSGID=\""www-data\"" type=EXECVE msg=audit(1758566234.502:9069): argc=2 a0=\""ps\"" a1=\""auxwww\"" type=PATH msg=audit(1758566234.502:9069): item=0 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566234.502:9069): item=1 name=\""/usr/bin/ps\"" inode=17887 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PATH msg=audit(1758566234.502:9069): item=2 name=\""/lib64/ld-linux-x86-64.so.2\"" inode=1964 dev=fe:01 mode=0100755 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0\u001dOUID=\""root\"" OGID=\""root\"" type=PROCTITLE msg=audit(1758566234.502:9069): proctitle=707300617578777777"", ""decoder"": {""parent"": ""auditd"", ""name"": ""auditd""}, ""data"": {""audit"": {""type"": ""SYSCALL"", ""id"": ""9069"", ""arch"": ""c000003e"", ""syscall"": ""59"", ""success"": ""yes"", ""exit"": ""0"", ""ppid"": ""10030"", ""pid"": ""10031"", ""auid"": ""4294967295"", ""uid"": ""33"", ""gid"": ""33"", ""euid"": ""33"", ""suid"": ""33"", ""fsuid"": ""33"", ""egid"": ""33"", ""sgid"": ""33"", ""fsgid"": ""33"", ""tty"": ""pts0"", ""session"": ""4294967295"", ""command"": ""ps"", ""exe"": ""/usr/bin/ps"", ""key"": ""T1166_Seuid_and_Setgid"", ""execve"": {""a0"": ""ps"", ""a1"": ""auxwww""}, ""file"": {""name"": ""/usr/bin/ps"", ""inode"": ""17887"", ""mode"": ""0100755""}}}, ""location"": ""/var/log/audit/audit.log""}",['T1057'],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:25.770+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 14, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566245.11512493"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:27.788+0000"", ""rule"": {""level"": 9, ""description"": ""Agent event queue is full. Events may be lost."", ""id"": ""203"", ""firedtimes"": 15, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""], ""pci_dss"": [""10.6.1""], ""gdpr"": [""IV_35.7.d""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566247.11512743"", ""full_log"": ""wazuh: Agent buffer: 'full'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""full""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:37:33.092+0000"", ""rule"": {""level"": 3, ""description"": ""Agent event queue is back to normal load."", ""id"": ""205"", ""firedtimes"": 4, ""mail"": false, ""groups"": [""wazuh"", ""agent_flooding""]}, ""agent"": {""id"": ""002"", ""name"": ""videoserver"", ""ip"": ""172.17.100.121""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566253.11512993"", ""full_log"": ""wazuh: Agent buffer: 'normal'."", ""decoder"": {""parent"": ""wazuh"", ""name"": ""wazuh""}, ""data"": {""level"": ""normal""}, ""location"": ""wazuh-agent""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:41:46.165+0000"", ""rule"": {""level"": 3, ""description"": ""Suricata: Alert - ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound)"", ""id"": ""86601"", ""firedtimes"": 957, ""mail"": false, ""groups"": [""ids"", ""suricata""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566506.11513212"", ""decoder"": {""name"": ""json""}, ""data"": {""timestamp"": ""2025-09-22T18:41:46.240463+0000"", ""flow_id"": ""362008130598952.000000"", ""in_iface"": ""ens5"", ""event_type"": ""alert"", ""src_ip"": ""192.42.1.174"", ""src_port"": ""33600"", ""dest_ip"": ""172.17.100.121"", ""dest_port"": ""80"", ""proto"": ""TCP"", ""metadata"": {""flowints"": {""http"": {""anomaly"": {""count"": ""7""}}}}, ""community_id"": ""1:lSuORPUKIV4VHxWK0lfH3awfQ7U="", ""tx_id"": ""47"", ""alert"": {""action"": ""allowed"", ""gid"": ""1"", ""signature_id"": ""2037838"", ""rev"": ""1"", ""signature"": ""ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound)"", ""category"": ""access to a potentially vulnerable web application"", ""severity"": ""2"", ""metadata"": {""affected_product"": [""Web_Server_Applications""], ""attack_target"": [""Web_Server""], ""confidence"": [""High""], ""created_at"": [""2022_07_28""], ""deployment"": [""SSLDecrypt"", ""Perimeter""], ""performance_impact"": [""Low""], ""signature_severity"": [""Informational""], ""tag"": [""Description_Generated_By_Proofpoint_Nexus""], ""updated_at"": [""2022_07_28""]}}, ""http"": {""hostname"": ""video.attackbed.com"", ""url"": ""/moving"", ""http_user_agent"": ""Fuzz Faster U Fool v2.1.0-dev"", ""http_method"": ""GET"", ""protocol"": ""HTTP/1.1"", ""length"": ""0""}, ""app_proto"": ""http"", ""flow"": {""pkts_toserver"": ""40"", ""pkts_toclient"": ""58"", ""bytes_toserver"": ""7042"", ""bytes_toclient"": ""19885"", ""start"": ""2025-09-22T18:31:35.833576+0000""}}, ""location"": ""/var/log/suricata/eve.json""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json

"{""timestamp"": ""2025-09-22T18:41:46.188+0000"", ""rule"": {""level"": 6, ""description"": ""IDS event."", ""id"": ""20101"", ""firedtimes"": 850, ""mail"": false, ""groups"": [""ids""]}, ""agent"": {""id"": ""001"", ""name"": ""inetfw"", ""ip"": ""192.168.100.254""}, ""manager"": {""name"": ""wazuh""}, ""id"": ""1758566506.11515874"", ""full_log"": ""09/22/2025-18:41:46.240463  [**] [1:2037838:1] ET SCAN Web Scanner - Fuzz Faster U Fool (Inbound) [**] [Classification: access to a potentially vulnerable web application] [Priority: 2] {TCP} 192.42.1.174:33600 -> 172.17.100.121:80"", ""predecoder"": {""timestamp"": ""09/22/2025-18:41:46.240463""}, ""decoder"": {""parent"": ""snort"", ""name"": ""snort""}, ""data"": {""srcip"": ""192.42.1.174"", ""dstip"": ""172.17.100.121:80"", ""id"": ""1:2037838:1""}, ""location"": ""/var/log/suricata/fast.log""}",[],"['T1087', 'T1083', 'T1201', 'T1069', 'T1057', 'T1518', 'T1082', 'T1614', 'T1016', 'T1049', 'T1033', 'T1007', 'T1615']",1,1_autostart_localaccount-13,data/manifestations_raw\steps\1_autostart_localaccount-13\wazuh/logs/alerts/alerts.json
